task;model_name;train_epochs;train_batch;train_lr;train_maxlen;precision;use_lora;eval_style;avg_val_loss;accuracy;mcc;f1;training_time;learning_rate_scheduler_type;warmup_steps;num_fewshot
copa;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.662358283996582;0.58;0.1615232536715691;0.5796638655462185;1h:15m:0s;linear;1.0;na
copa;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.74514240026474;0.52;0.0388778054742982;0.5196153846153846;1h:14m:58s;linear;1.0;na
copa;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.6608006954193115;0.66;0.3204191054581027;0.6583574879227053;1h:15m:10s;linear;1.0;na
copa;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.7293123602867126;0.47;-0.0608608718377616;0.469840856771094;1h:15m:2s;linear;1.0;na
copa;Qwen/Qwen3-4B-Base;5;2;2e-05;1024;fp16;True;standard;0.6616887450218201;0.63;0.2592827320444573;0.6294436090225564;0h:37m:36s;linear;1.0;na
copa;Qwen/Qwen3-4B-Base;5;2;2e-05;1024;fp16;True;standard;0.6527135968208313;0.57;0.1388727945625111;0.5693533834586466;0h:37m:29s;linear;1.0;na
copa;Qwen/Qwen3-4B-Base;5;2;2e-05;1024;fp16;True;standard;0.7188467383384705;0.54;0.0796318527410964;0.54;0h:37m:34s;linear;1.0;na
copa;Qwen/Qwen3-4B-Base;5;2;2e-05;1024;fp16;True;standard;0.7020536065101624;0.58;0.1663497857143832;0.5766183574879227;0h:37m:32s;linear;1.0;na
copa;Qwen/Qwen3-4B-Base;5;2;2e-05;1024;fp16;True;standard;0.7188473343849182;0.56;0.1196478591436574;0.56;0h:37m:32s;linear;1.0;na
copa;Qwen/Qwen3-4B-Base;5;2;2e-05;1024;fp16;True;standard;0.6855967044830322;0.56;0.1196478591436574;0.56;0h:37m:33s;linear;1.0;na
copa;Qwen/Qwen3-4B-Base;5;2;2e-05;1024;fp16;True;standard;0.7283642292022705;0.52;0.0422200330920749;0.5188461538461538;0h:37m:37s;linear;1.0;na
copa;Qwen/Qwen3-4B-Base;5;2;2e-05;1024;fp16;True;standard;0.7160735726356506;0.5;0.0053862820028248;0.4914772727272727;0h:37m:28s;linear;1.0;na
copa;Qwen/Qwen3-4B-Base;5;2;2e-05;1024;fp16;True;standard;0.723709762096405;0.52;0.0388778054742982;0.5196153846153846;0h:37m:33s;linear;1.0;na
copa;Qwen/Qwen3-4B-Base;5;2;2e-05;1024;fp16;True;standard;0.7193604707717896;0.5;0.0020104777662892813;0.4987980769230769;0h:37m:33s;linear;1.0;na
